Sport,Team,League,Season,Date,Time,Opponent,HomeAway,Venue,City,State,TV,EventType,Notes
Baseball,Boys Baseball,IHSAA,2026-27,2027-06-18,4:30 PM,Class 3A State Championship,Neutral,Victory Field,Indianapolis,IN,IHSAAtv.org,IHSAA State Final,Game 1
Baseball,Boys Baseball,IHSAA,2026-27,2027-06-18,8:00 PM,Class 4A State Championship,Neutral,Victory Field,Indianapolis,IN,IHSAAtv.org,IHSAA State Final,Game 2
Baseball,Boys Baseball,IHSAA,2026-27,2027-06-19,4:30 PM,Class 1A State Championship,Neutral,Victory Field,Indianapolis,IN,IHSAAtv.org,IHSAA State Final,Game 3
Baseball,Boys Baseball,IHSAA,2026-27,2027-06-19,8:00 PM,Class 2A State Championship,Neutral,Victory Field,Indianapolis,IN,IHSAAtv.org,IHSAA State Final,Game 4
