Sport,Team,League,Season,Date,Time,Opponent,HomeAway,Venue,City,State,TV,EventType,Notes
Football,IHSAA Football,IHSAA,2026,2026-10-23,TBD,Sectional Round,Neutral,TBD,Indiana,IN,TBD,IHSAA Tournament,Sectionals
Football,IHSAA Football,IHSAA,2026,2026-10-30,TBD,Sectional Round,Neutral,TBD,Indiana,IN,TBD,IHSAA Tournament,Sectionals
Football,IHSAA Football,IHSAA,2026,2026-11-06,TBD,Sectional Round,Neutral,TBD,Indiana,IN,TBD,IHSAA Tournament,Sectionals
Football,IHSAA Football,IHSAA,2026,2026-11-13,TBD,Regional Round,Neutral,TBD,Indiana,IN,TBD,IHSAA Tournament,Regionals
Football,IHSAA Football,IHSAA,2026,2026-11-20,TBD,Semi-State Round,Neutral,TBD,Indiana,IN,TBD,IHSAA Tournament,Semi-State
Football,IHSAA Football,IHSAA,2026,2026-11-27,TBD,State Finals,Neutral,TBD,Indianapolis,IN,TBD,IHSAA Tournament,State Finals
Football,IHSAA Football,IHSAA,2026,2026-11-28,TBD,State Finals,Neutral,TBD,Indianapolis,IN,TBD,IHSAA Tournament,State Finals
