Sport,Team,League,Season,Date,Time,Opponent,HomeAway,Venue,City,State,TV,EventType,Notes
Basketball,Boys Basketball,IHSAA,2026-27,2027-02-21,TBA,Boys Basketball Pairings Show,Neutral,IHSAA Headquarters,Indianapolis,IN,TBD,IHSAA Event,Boys basketball tournament pairings show
Basketball,Boys Basketball,IHSAA,2026-27,2027-03-02,TBA,Boys Basketball Sectionals,Neutral,IHSAA Tournament Sites,Indiana,IN,TBD,IHSAA Tournament,Sectionals
Basketball,Boys Basketball,IHSAA,2026-27,2027-03-03,TBA,Boys Basketball Sectionals,Neutral,IHSAA Tournament Sites,Indiana,IN,TBD,IHSAA Tournament,Sectionals
Basketball,Boys Basketball,IHSAA,2026-27,2027-03-05,TBA,Boys Basketball Sectionals,Neutral,IHSAA Tournament Sites,Indiana,IN,TBD,IHSAA Tournament,Sectionals
Basketball,Boys Basketball,IHSAA,2026-27,2027-03-06,TBA,Boys Basketball Sectionals,Neutral,IHSAA Tournament Sites,Indiana,IN,TBD,IHSAA Tournament,Sectionals
Basketball,Boys Basketball,IHSAA,2026-27,2027-03-14,TBA,Boys Basketball Regionals,Neutral,IHSAA Tournament Sites,Indiana,IN,TBD,IHSAA Tournament,Regionals
Basketball,Boys Basketball,IHSAA,2026-27,2027-03-20,TBA,Boys Basketball Semi-States,Neutral,IHSAA Tournament Sites,Indiana,IN,TBD,IHSAA Tournament,Semi-States
Basketball,Boys Basketball,IHSAA,2026-27,2027-03-27,TBA,Boys Basketball State Finals,Neutral,Gainbridge Fieldhouse,Indianapolis,IN,TBD,IHSAA Tournament,State Finals
