Sport,Team,League,Season,Date,Time,Opponent,HomeAway,Venue,City,State,TV,EventType,Notes
Football,NFL Playoffs,NFL,2026,2027-01-09,TBA,NFL Wild Card Weekend,Neutral,TBA,TBA,TBA,TBA,Playoff,
Football,NFL Playoffs,NFL,2026,2027-01-10,TBA,NFL Wild Card Weekend,Neutral,TBA,TBA,TBA,TBA,Playoff,
Football,NFL Playoffs,NFL,2026,2027-01-11,TBA,NFL Wild Card Weekend,Neutral,TBA,TBA,TBA,TBA,Playoff,
Football,NFL Playoffs,NFL,2026,2027-01-16,TBA,NFL Divisional Round,Neutral,TBA,TBA,TBA,TBA,Playoff,
Football,NFL Playoffs,NFL,2026,2027-01-17,TBA,NFL Divisional Round,Neutral,TBA,TBA,TBA,TBA,Playoff,
Football,NFL Playoffs,NFL,2026,2027-01-18,TBA,NFL Divisional Round,Neutral,TBA,TBA,TBA,TBA,Playoff,
Football,NFL Playoffs,NFL,2026,2027-01-24,TBA,AFC Championship,Neutral,TBA,TBA,TBA,TBA,Playoff,
Football,NFL Playoffs,NFL,2026,2027-01-24,TBA,NFC Championship,Neutral,TBA,TBA,TBA,TBA,Playoff,
Football,NFL Playoffs,NFL,2026,2027-02-14,6:30 PM,Super Bowl LXI,Neutral,SoFi Stadium,Inglewood,CA,TBA,Super Bowl,
