Sport,Team,League,Season,Date,Time,Opponent,HomeAway,Venue,City,State,TV,EventType,Notes
Basketball,Girls Basketball,IHSAA,2026-27,2027-01-24,TBA,Girls Basketball Pairings Show,Neutral,IHSAA Headquarters,Indianapolis,IN,TBD,IHSAA Event,Girls basketball tournament pairings show
Basketball,Girls Basketball,IHSAA,2026-27,2027-02-02,TBA,Girls Basketball Sectionals,Neutral,IHSAA Tournament Sites,Indiana,IN,TBD,IHSAA Tournament,Sectionals
Basketball,Girls Basketball,IHSAA,2026-27,2027-02-03,TBA,Girls Basketball Sectionals,Neutral,IHSAA Tournament Sites,Indiana,IN,TBD,IHSAA Tournament,Sectionals
Basketball,Girls Basketball,IHSAA,2026-27,2027-02-05,TBA,Girls Basketball Sectionals,Neutral,IHSAA Tournament Sites,Indiana,IN,TBD,IHSAA Tournament,Sectionals
Basketball,Girls Basketball,IHSAA,2026-27,2027-02-06,TBA,Girls Basketball Sectionals,Neutral,IHSAA Tournament Sites,Indiana,IN,TBD,IHSAA Tournament,Sectionals
Basketball,Girls Basketball,IHSAA,2026-27,2027-02-13,TBA,Girls Basketball Regionals,Neutral,IHSAA Tournament Sites,Indiana,IN,TBD,IHSAA Tournament,Regionals
Basketball,Girls Basketball,IHSAA,2026-27,2027-02-20,TBA,Girls Basketball Semi-States,Neutral,IHSAA Tournament Sites,Indiana,IN,TBD,IHSAA Tournament,Semi-States
Basketball,Girls Basketball,IHSAA,2026-27,2027-02-27,TBA,Girls Basketball State Finals,Neutral,Gainbridge Fieldhouse,Indianapolis,IN,TBD,IHSAA Tournament,State Finals
