Sport,Team,League,Season,Date,Time,Opponent,HomeAway,Venue,City,State,TV,EventType,Notes
Softball,Girls Softball,IHSAA,2026-27,2027-06-11,5:30 PM,Class 3A State Championship,Neutral,Bittinger Stadium,West Lafayette,IN,IHSAAtv.org,IHSAA State Final,Game 1
Softball,Girls Softball,IHSAA,2026-27,2027-06-11,8:00 PM,Class 4A State Championship,Neutral,Bittinger Stadium,West Lafayette,IN,IHSAAtv.org,IHSAA State Final,Game 2
Softball,Girls Softball,IHSAA,2026-27,2027-06-12,4:30 PM,Class 1A State Championship,Neutral,Bittinger Stadium,West Lafayette,IN,IHSAAtv.org,IHSAA State Final,Game 3
Softball,Girls Softball,IHSAA,2026-27,2027-06-12,7:00 PM,Class 2A State Championship,Neutral,Bittinger Stadium,West Lafayette,IN,IHSAAtv.org,IHSAA State Final,Game 4
