Sport,Team,League,Season,Date,Time,Opponent,HomeAway,Venue,City,State,TV,EventType,Notes
Basketball,NBA Playoffs,NBA,2026,2027-04-13,TBA,NBA Play-In Tournament,Neutral,TBA,TBA,TBA,TBA,Playoff,
Basketball,NBA Playoffs,NBA,2026,2027-04-14,TBA,NBA Play-In Tournament,Neutral,TBA,TBA,TBA,TBA,Playoff,
Basketball,NBA Playoffs,NBA,2026,2027-04-15,TBA,NBA Play-In Tournament,Neutral,TBA,TBA,TBA,TBA,Playoff,
Basketball,NBA Playoffs,NBA,2026,2027-04-16,TBA,NBA Play-In Tournament,Neutral,TBA,TBA,TBA,TBA,Playoff,
Basketball,NBA Playoffs,NBA,2026,2027-04-17,TBA,NBA Playoffs,Neutral,TBA,TBA,TBA,TBA,Playoff,
Basketball,NBA Playoffs,NBA,2026,2027-04-19,TBA,NBA Playoffs,Neutral,TBA,TBA,TBA,TBA,Playoff,
Basketball,NBA Playoffs,NBA,2026,2027-04-20,TBA,NBA Playoffs,Neutral,TBA,TBA,TBA,TBA,Playoff,
